"store_name","store_address","store_type","lat","lon","parking","blonde","physio","coldbrew","no_cash","foreign_cash","certification_fd","deli_bus","ecp","close21","pet_zone","airport","seaside","university","terminal","resort","hospital","instore","subway","the_disabled","air_cleaner","eletric_vehicle_charging","service_icon","PRMS_Y","PRMS_M","PRMS_D","hour"
"스타벅스 BIFCMall점","부산광역시 남구 문현금융로 40 (문현동) 부산국제금융센터","general",35.1463,129.066,"True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon14', 'icon19']","2015","5","26",NULL
"스타벅스 GS타워점","서울특별시 강남구 논현로 508 (역삼동)","general",37.5019,127.037,"True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon14', 'icon19']","2005","8","5",NULL
"스타벅스 HD현대R&D센터점","경기도 성남시 분당구 분당수서로 477 (정자동)","general",37.3765,127.104,"True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon21']","2023","1","19",NULL
"스타벅스 SSG랜더스필드1F점","인천광역시 미추홀구 매소홀로 618 (문학동)","general",37.4368,126.693,"True","False","False","True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","['icon04', 'icon18', 'icon20', 'icon_delivers_service', 'Moon_icon_16x16_230324']","2021","8","9",NULL
"스타벅스 SSG랜더스필드2F점","인천광역시 미추홀구 매소홀로 618 (문학동)","general",37.4366,126.692,"True","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","['icon04', 'icon20', 'Moon_icon_16x16_230324', 'icon14']","2019","3","20",NULL
"스타벅스 가든파이브점","서울특별시 송파구 충민로 10 (문정동) 가든파이브툴","general",37.4783,127.119,"True","True","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","True","False","True","False","False","['icon04', 'icon23', 'icon22', 'Moon_icon_16x16_230324', 'icon10', 'icon19']","2011","6","28",NULL
"스타벅스 가락본동점","서울특별시 송파구 송파대로30길 13 (가락동)","general",37.4948,127.119,"False","True","True","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","True","True","False","False","['icon23', 'icon22', 'icon20', 'icon_delivers_service', 'Moon_icon_16x16_230324', 'icon14', 'icon19']","2012","4","12",NULL
"스타벅스 가락시장역점","서울특별시 송파구 중대로 121, 롯데캐슬 파인힐 1층 (가락동)","general",37.4944,127.122,"True","True","True","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","True","True","False","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon_delivers_service', 'Moon_icon_16x16_230324', 'icon14', 'icon19']","2012","1","13",NULL
"스타벅스 가로수길점","서울특별시 강남구 논현로175길 94, 1~2층 (신사동)","general",37.5232,127.022,"False","True","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","True","False","['icon23', 'icon22', 'icon_delivers_service', 'icon19', 'icon21']","2013","10","2",NULL
"스타벅스 가산그레이트점","서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)","general",37.4795,126.887,"True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon14', 'icon19', 'icon21']","2010","9","7",NULL
"스타벅스 가산디지털단지역점","서울특별시 금천구 벚꽃로 298 (가산동), 대륭포스트타워 6차 1층","general",37.4814,126.884,"True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon14', 'icon19', 'icon21']","2016","6","13",NULL
"스타벅스 가산디지털점","서울특별시 금천구 가산디지털1로 168 (가산동), 우림라이온스밸리 B동 1층","general",37.48,126.882,"True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon14', 'icon19', 'icon21']","2006","1","20",NULL
"스타벅스 가산브이타워점","서울특별시 금천구 가산디지털1로 128 (가산동), V-TOWER 1층","general",37.477,126.884,"True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon14', 'icon19', 'icon21']","2011","1","20",NULL
"스타벅스 가산에스케이점","서울특별시 금천구 가산디지털1로 171 (가산동), SK V1센터 1층","general",37.4808,126.881,"True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon14', 'icon19', 'icon21']","2018","8","22",NULL
"스타벅스 가산케이에스점","서울특별시 금천구 벚꽃로36길 30 (가산동), 가산KS타워 1층","general",37.4809,126.885,"True","True","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon_delivers_service', 'icon14', 'icon19', 'icon21']","2023","10","26",NULL
"스타벅스 가산현대아울렛점","서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부","general",37.4777,126.889,"True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","True","False","['icon04', 'icon23', 'icon22', 'icon10', 'icon19', 'icon21']","2022","5","23",NULL
"스타벅스 가양역사거리점","서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호","general",37.5601,126.855,"True","True","True","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon_delivers_service', 'Moon_icon_16x16_230324', 'icon14', 'icon19', 'icon21']","2021","7","30",NULL
"스타벅스 가양역점","서울특별시 강서구 양천로 476 (등촌동)","general",37.5616,126.853,"True","True","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","True","True","False","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon_delivers_service', 'icon14', 'icon19']","2017","3","23",NULL
"스타벅스 가재울뉴타운점","서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이2단지별동상가1층)","general",37.5751,126.916,"False","True","True","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False","True","False","['icon23', 'icon22', 'icon20', 'icon_delivers_service', 'Moon_icon_16x16_230324', 'icon21']","2019","6","7",NULL
"스타벅스 가천대학교점","경기도 성남시 수정구 성남대로 1342 (복정동)","general",37.4494,127.127,"True","True","True","False","True","False","False","True","False","False","False","False","False","True","False","False","False","False","True","False","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon_delivers_service', 'icon08', 'icon14', 'icon21']","2023","11","14",NULL
"스타벅스 가평설악ICDT점","경기도 가평군 설악면 신선봉로 14","generalDT",37.6791,127.486,"True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","['icon04', 'icon23', 'icon22', 'icon19']","2023","7","26",NULL
"스타벅스 간석중앙공원DT점","인천광역시 남동구 경인로 563 (간석동)","generalDT",37.4633,126.701,"True","True","True","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'Moon_icon_16x16_230324', 'icon19', 'icon21']","2021","6","10",NULL
"스타벅스 강남GT타워점","서울특별시 서초구 서초대로 411, GT타워 (서초동)","general",37.4979,127.026,"True","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon14', 'icon19']","2012","2","27",NULL
"스타벅스 강남R점","서울특별시 강남구 강남대로 390 (역삼동)","reserve",37.4977,127.028,"False","True","True","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","True","True","True","False","['icon23', 'icon22', 'icon20', 'Moon_icon_16x16_230324', 'icon14', 'icon19', 'icon21']","2017","8","14",NULL
"스타벅스 강남교보타워R점","서울특별시 서초구 강남대로 465 (서초동)","reserve",37.5037,127.024,"False","True","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","True","False","['icon23', 'icon22', 'Moon_icon_16x16_230324', 'icon14', 'icon21']","2018","6","1",NULL
"스타벅스 강남구청역점","서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)","general",37.5166,127.041,"True","True","True","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","True","False","False","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon_delivers_service', 'Moon_icon_16x16_230324', 'icon14']","2005","4","18",NULL
"스타벅스 강남구청정문점","서울특별시 강남구 학동로 419 (청담동)","general",37.5182,127.046,"True","True","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon_delivers_service']","2017","3","16",NULL
"스타벅스 강남논현점","서울특별시 강남구 강남대로 512 (논현동)","general",37.5079,127.023,"False","True","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","['icon23', 'icon22', 'icon20', 'icon_delivers_service']","2021","12","3",NULL
"스타벅스 강남대로신사점","서울특별시 서초구 강남대로 595 (잠원동)","general",37.5149,127.019,"False","True","True","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","['icon23', 'icon22', 'icon20', 'Moon_icon_16x16_230324', 'icon14']","2017","3","28",NULL
"스타벅스 강남대로점","서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)","general",37.5031,127.026,"False","True","True","True","True","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","['icon23', 'icon22', 'icon18', 'icon20', 'Moon_icon_16x16_230324', 'icon14']","2013","6","18",NULL
"스타벅스 강남대점","경기도 용인시 기흥구 강남로 3, 강남&amp;플러스 1층(구갈동)","general",37.2711,127.126,"True","True","True","False","True","False","False","True","False","False","False","False","False","True","False","False","False","False","True","True","False","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon_delivers_service', 'icon08', 'icon14', 'icon19']","2010","7","21",NULL
"스타벅스 강남비젼타워점","서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)","general",37.4965,127.03,"True","True","True","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'icon_delivers_service', 'Moon_icon_16x16_230324', 'icon14', 'icon19', 'icon21']","2012","3","22",NULL
"스타벅스 강남삼성타운점","서울특별시 서초구 서초대로78길 24 (서초동)","general",37.4956,127.028,"False","True","True","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","True","True","False","['icon23', 'icon22', 'icon18', 'Moon_icon_16x16_230324', 'icon14', 'icon19', 'icon21']","2007","7","27",NULL
"스타벅스 강남서초초교점","서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)","general",37.5001,127.025,"False","True","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","True","False","False","['icon23', 'icon22', 'Moon_icon_16x16_230324', 'icon14', 'icon19']","2003","12","17",NULL
"스타벅스 강남세곡DT점","서울특별시 강남구 헌릉로 727 (세곡동)","generalDT",37.467,127.118,"False","True","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","['icon23', 'icon22', 'icon20', 'icon_delivers_service', 'icon21']","2023","11","24",NULL
"스타벅스 강남세곡점","서울특별시 강남구 헌릉로569길 18 (세곡동)","general",37.4673,127.1,"True","True","True","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","['icon04', 'icon23', 'icon22', 'icon20', 'Moon_icon_16x16_230324']","2021","4","8",NULL
"스타벅스 강남에비뉴점","서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)","general",37.5026,127.024,"True","True","True","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'Moon_icon_16x16_230324', 'icon14', 'icon19', 'icon21']","2013","3","18",NULL
"스타벅스 강남역신분당역사점","서울특별시 강남구 강남대로 396 (역삼동)","general",37.4971,127.028,"False","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","['icon23', 'icon22', 'icon20', 'icon14', 'icon21']","2022","5","10",NULL
"스타벅스 강남역우송빌딩점","서울특별시 서초구 서초대로73길 7 (서초동)","general",37.4981,127.025,"False","True","True","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False","False","['icon23', 'icon22', 'icon20', 'icon_delivers_service', 'icon19']","2023","5","18",NULL
"스타벅스 강남오거리점","서울특별시 강남구 봉은사로2길 39 (역삼동)","general",37.5021,127.027,"False","True","True","True","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","True","False","False","['icon23', 'icon22', 'icon18', 'icon20', 'icon_delivers_service', 'Moon_icon_16x16_230324', 'icon19']","2017","8","16",NULL
"스타벅스 강남우성점","서울특별시 강남구 강남대로 328 (역삼동)","general",37.4924,127.031,"False","True","True","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","False","True","True","False","['icon23', 'icon22', 'icon20', 'icon_delivers_service', 'Moon_icon_16x16_230324', 'icon19', 'icon21']","2016","11","8",NULL
"스타벅스 강동구청DT점","서울특별시 강동구 성내로 32 (성내동)","generalDT",37.5294,127.124,"True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","True","True","False","['icon04', 'Moon_icon_16x16_230324', 'icon14', 'icon19', 'icon21']","2019","6","11",NULL
"스타벅스 강동암사DT점","서울특별시 강동구 고덕로 43 (암사동)","generalDT",37.5551,127.13,"True","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","True","True","False","['icon04', 'icon_delivers_service', 'Moon_icon_16x16_230324', 'icon19', 'icon21']","2019","2","21",NULL
"스타벅스 강동역점","서울특별시 강동구 천호대로 1089 (천호동, 강동 헤르셔)","general",37.536,127.133,"False","True","True","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","True","True","True","False","['icon23', 'icon22', 'icon20', 'Moon_icon_16x16_230324', 'icon14', 'icon19', 'icon21']","2016","8","16",NULL
"스타벅스 강릉ICDT점","강원도 강릉시 경강로 1853 (홍제동)","generalDT",37.7467,128.872,"True","True","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","True","False","['icon04', 'icon23', 'icon22', 'Moon_icon_16x16_230324', 'icon19', 'icon21']","2023","9","7",NULL
"스타벅스 강릉강문해변점","강원도 강릉시 창해로350번길 3 (강문동)","general",37.7947,128.919,"False","True","True","False","True","False","False","False","False","True","False","False","True","False","False","False","False","False","False","True","True","False","['icon23', 'icon22', 'icon20', 'Moon_icon_16x16_230324', 'icon09', 'icon19', 'icon21']","2020","1","8",NULL
"스타벅스 강릉교동광장점","강원도 강릉시 교동광장로 114 (교동)","general",37.7643,128.877,"True","True","True","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'Moon_icon_16x16_230324', 'icon19', 'icon21']","2017","12","6",NULL
"스타벅스 강릉송정DT점","강원도 강릉시 경강로 2400 (송정동)","generalDT",37.7719,128.923,"True","True","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","True","False","['icon04', 'icon23', 'icon22', 'Moon_icon_16x16_230324', 'icon19', 'icon21']","2019","12","3",NULL
"스타벅스 강릉안목항점","강원도 강릉시 창해로14번길 40 (견소동)","general",37.7714,128.949,"True","True","True","False","True","False","False","False","False","True","False","False","True","False","False","False","False","False","False","True","True","False","['icon04', 'icon23', 'icon22', 'icon20', 'Moon_icon_16x16_230324', 'icon09', 'icon19', 'icon21']","2010","3","29",NULL
"스타벅스 강릉율곡DT점","강원도 강릉시 율곡로 2996 (교동)","generalDT",37.7699,128.892,"True","True","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","True","False","['icon04', 'icon23', 'icon22', 'Moon_icon_16x16_230324', 'icon19', 'icon21']","2022","2","9",NULL
"스타벅스 강릉주문진점","강원특별자치도 강릉시 주문진읍 학교담길 32-8","general",37.8811,128.832,"True","True","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","True","True","False","['icon04', 'icon23', 'icon22', 'icon09', 'icon19', 'icon21']","2024","4","18",NULL
